from,to,distance
1346,71,0.998496
1400,71,0.998496
71,1346,0.998496
71,1400,0.998496
1451,84,0.998490
84,1451,0.998490
1918,104,0.998478
104,1918,0.998478
1393,72,0.998472
72,1393,0.998472
70,1312,0.998437
1462,70,0.998437
70,1462,0.998437
1312,70,0.998437
1655,136,0.998394
136,1655,0.998394
115,1757,0.998364
1757,115,0.998364
178,1897,0.998356
1897,178,0.998356
1474,63,0.998353
63,1474,0.998353
1375,63,0.998353
63,1375,0.998353
129,1805,0.998331
1805,163,0.998331
1805,129,0.998331
163,1805,0.998331
188,1893,0.998319
1893,188,0.998319
1036,643,0.998294
1036,2035,0.998294
281,223,0.998276
223,281,0.998276
1998,132,0.998245
132,1998,0.998245
1998,168,0.998245
168,1998,0.998245
32,1505,0.998239
1505,32,0.998239
2157,742,0.998216
742,2157,0.998216
1490,1394,0.998155
1394,1490,0.998155
50,1246,0.998153
1246,50,0.998153
125,1565,0.998126
1565,125,0.998126
57,1323,0.998065
57,1469,0.998065
1323,57,0.998065
1469,57,0.998065
170,1880,0.998008
1880,170,0.998008
1709,1680,0.997943
1680,1709,0.997943
133,1641,0.997908
1641,133,0.997908
156,1924,0.997886
1924,156,0.997886
166,1954,0.997810
1954,166,0.997810
16,1065,0.997810
16,2143,0.997810
149,1953,0.997642
1953,149,0.997642
661,2016,0.997616
2016,661,0.997616
1632,1099,0.997561
1099,1632,0.997561
1847,1979,0.997517
1979,1847,0.997517
69,1471,0.997509
1471,69,0.997509
1938,1878,0.997462
1878,1938,0.997462
1872,118,0.997438
1872,135,0.997438
135,1872,0.997438
118,1872,0.997438
2147,1670,0.997426
1670,663,0.997426
1670,2147,0.997426
663,1670,0.997426
2001,1987,0.997407
1987,2001,0.997407
1696,1670,0.997367
243,264,0.997344
264,243,0.997344
900,644,0.997328
644,900,0.997328
31,967,0.997258
967,31,0.997258
62,1464,0.997192
1464,62,0.997192
1806,153,0.997153
153,1806,0.997153
1336,55,0.997125
1463,55,0.997125
55,1463,0.997125
55,1336,0.997125
597,644,0.997122
644,597,0.997122
1585,915,0.997068
915,1585,0.997068
1294,1246,0.997027
1246,1294,0.997027
1558,1572,0.997022
1572,1558,0.997022
617,850,0.996973
850,617,0.996973
131,1694,0.996967
1694,122,0.996967
1758,122,0.996967
122,1694,0.996967
929,714,0.996955
714,929,0.996955
597,900,0.996938
900,597,0.996938
2021,2063,0.996934
2063,2021,0.996934
1979,160,0.996837
160,1979,0.996837
1473,35,0.996766
35,1473,0.996766
1406,35,0.996766
35,1406,0.996766
1757,1571,0.996757
199,1839,0.996745
1839,199,0.996745
213,1276,0.996717
1276,213,0.996717
1592,99,0.996697
99,1592,0.996697
1751,1737,0.996666
1737,1751,0.996666
137,217,0.996647
217,137,0.996647
1954,1970,0.996584
1970,1954,0.996584
169,1829,0.996562
1829,169,0.996562
1870,1743,0.996519
1743,1870,0.996519
1297,1276,0.996496
1276,1297,0.996496
2019,152,0.996438
152,2019,0.996438
1958,152,0.996438
152,1958,0.996438
213,1297,0.996437
1297,213,0.996437
17,1278,0.996367
1278,17,0.996367
115,143,0.996352
98,1151,0.996350
1151,98,0.996350
709,227,0.996337
227,709,0.996337
1602,194,0.996292
194,1602,0.996292
87,1354,0.996140
87,1439,0.996140
1439,87,0.996140
1354,87,0.996140
1909,1890,0.996110
1890,1909,0.996110
1668,225,0.996086
225,1668,0.996086
1294,50,0.996063
50,1294,0.996063
1818,198,0.995997
1850,198,0.995997
198,1818,0.995997
198,1850,0.995997
223,2132,0.995865
2132,223,0.995865
719,686,0.995829
686,719,0.995829
724,703,0.995794
703,724,0.995794
2057,663,0.995740
2057,2147,0.995740
1487,58,0.995652
58,1487,0.995652
1696,663,0.995617
2061,2075,0.995535
2075,2061,0.995535
160,1847,0.995471
1847,160,0.995471
1290,1268,0.995440
1268,1290,0.995440
93,235,0.995229
235,93,0.995229
1326,1234,0.995208
1234,1326,0.995208
229,649,0.995133
649,229,0.995133
1942,1922,0.995084
1922,1942,0.995084
716,675,0.994930
675,716,0.994930
1235,23,0.994904
23,1235,0.994904
1326,1420,0.994702
166,1970,0.994680
1970,166,0.994680
281,2132,0.994640
2132,281,0.994640
1909,2088,0.994631
2088,1909,0.994631
1672,207,0.994630
207,1672,0.994630
