component_id,mean,sum,count,min,max
16,15.982733,16.000000,0.998921,0.997810,1.000000
15,3.969896,4.000000,0.992474,0.992474,0.992474
14,3.968611,4.000000,0.992153,0.992153,0.992153
13,7.740963,8.000000,0.967620,0.963236,0.972004
2,3.927648,4.000000,0.981912,0.981912,0.981912
31,3.989030,4.000000,0.997258,0.997258,0.997258
32,3.992956,4.000000,0.998239,0.998239,0.998239
33,11.988959,12.000000,0.999080,0.998620,1.000000
34,12.000000,12.000000,1.000000,1.000000,1.000000
35,11.974130,12.000000,0.997844,0.996766,1.000000
36,12.000000,12.000000,1.000000,1.000000,1.000000
37,11.999999,12.000000,1.000000,1.000000,1.000000
38,23.716862,24.000000,0.988203,0.964375,0.998472
40,11.991829,12.000000,0.999319,0.998979,1.000000
47,12.000000,12.000000,1.000000,1.000000,1.000000
50,11.999999,12.000000,1.000000,1.000000,1.000000
51,11.977002,12.000000,0.998084,0.997125,1.000000
52,11.984517,12.000000,0.998710,0.998065,1.000000
53,3.982609,4.000000,0.995652,0.995652,0.995652
55,11.991829,12.000000,0.999319,0.998979,1.000000
56,3.988767,4.000000,0.997192,0.997192,0.997192
57,11.986822,12.000000,0.998902,0.998353,1.000000
58,11.988883,12.000000,0.999074,0.998610,1.000000
127,3.990567,4.000000,0.997642,0.997642,0.997642
128,4.000000,4.000000,1.000000,1.000000,1.000000
129,11.971503,12.000000,0.997625,0.996438,1.000000
130,3.988612,4.000000,0.997153,0.997153,0.997153
131,4.000000,4.000000,1.000000,1.000000,1.000000
132,3.995213,4.000000,0.998803,0.998803,0.998803
133,3.991545,4.000000,0.997886,0.997886,0.997886
137,11.959298,12.000000,0.996608,0.995471,0.997517
138,3.899675,4.000000,0.974919,0.974919,0.974919
139,3.995563,4.000000,0.998891,0.998891,0.998891
140,4.000000,4.000000,1.000000,1.000000,1.000000
141,11.956296,12.000000,0.996358,0.994680,0.997810
142,15.725218,16.000000,0.982826,0.965259,1.000000
143,3.986247,4.000000,0.996562,0.996562,0.996562
144,3.992032,4.000000,0.998008,0.998008,0.998008
151,7.840431,8.000000,0.980054,0.961752,0.998356
153,3.963034,4.000000,0.990759,0.990759,0.990759
155,19.442621,20.000000,0.972131,0.962077,0.992934
161,3.993277,4.000000,0.998319,0.998319,0.998319
165,11.910664,12.000000,0.992555,0.989785,0.996292
166,35.826138,36.000000,0.995170,0.986726,1.000000
169,11.967973,12.000000,0.997331,0.995997,1.000000
170,3.986979,4.000000,0.996745,0.996745,0.996745
172,19.616627,20.000000,0.980831,0.969517,0.986713
173,11.676719,12.000000,0.973060,0.968444,0.979114
176,3.941508,4.000000,0.985377,0.985377,0.985377
178,15.776511,16.000000,0.986032,0.962662,0.994630
179,3.944058,4.000000,0.986015,0.986015,0.986015
184,11.958601,12.000000,0.996550,0.996437,0.996717
189,4.000000,4.000000,1.000000,1.000000,1.000000
190,11.889437,12.000000,0.990786,0.986180,1.000000
191,3.963205,4.000000,0.990801,0.990801,0.990801
192,11.794278,12.000000,0.982857,0.975560,0.993348
193,11.955124,12.000000,0.996260,0.994640,0.998276
194,11.869383,12.000000,0.989115,0.985121,0.994567
195,19.634720,20.000000,0.981736,0.972721,0.996086
197,15.930364,16.000000,0.995648,0.992389,1.000000
198,3.969563,4.000000,0.992391,0.992391,0.992391
199,3.980530,4.000000,0.995133,0.995133,0.995133
209,4.000000,4.000000,1.000000,1.000000,1.000000
210,3.989377,4.000000,0.997344,0.997344,0.997344
211,7.726078,8.000000,0.965760,0.960576,0.970943
213,3.863893,4.000000,0.965973,0.965973,0.965973
226,3.877587,4.000000,0.969397,0.969397,0.969397
231,3.859155,4.000000,0.964789,0.964789,0.964789
239,3.954514,4.000000,0.988629,0.988629,0.988629
240,3.934678,4.000000,0.983669,0.983669,0.983669
243,3.996446,4.000000,0.999112,0.999112,0.999112
253,3.999999,4.000000,1.000000,1.000000,1.000000
543,11.965549,12.000000,0.997129,0.996938,0.997328
545,3.857558,4.000000,0.964390,0.964390,0.964390
558,3.877555,4.000000,0.969389,0.969389,0.969389
563,3.987892,4.000000,0.996973,0.996973,0.996973
576,3.928933,4.000000,0.982233,0.982233,0.982233
584,12.000000,12.000000,1.000000,1.000000,1.000000
585,35.999996,36.000000,1.000000,1.000000,1.000000
586,18.000000,18.000000,1.000000,1.000000,1.000000
587,15.993176,16.000000,0.999573,0.998294,1.000000
590,3.960534,4.000000,0.990133,0.990133,0.990133
596,3.953020,4.000000,0.988255,0.988255,0.988255
603,3.990464,4.000000,0.997616,0.997616,0.997616
605,19.677744,20.000000,0.983887,0.973901,1.000000
